Postee?,Date FR,Heure,Categorie,Type detail,ID,Statut,Bio active,Description (caption),Alt text (accessibilite),Reference fiche,Visuel path
☐,sam 9 mai 2026,12:00,📸 Post feed,Carrousel 5,post-J19-recap,a-publier-manuel,v0 · Association pour le gala de l'EFREI,"Carrousel 5 slides · récap parcours J-19 avant La Nuit de l'EFREI 2026 · hibou Barney en costume sur fond péniche nuit, texte hero or italique 'DIX-NEUF JOURS'","Carrousel 5 slides · récap parcours J-19 avant La Nuit de l'EFREI 2026 · hibou Barney en costume sur fond péniche nuit, texte hero or italique 'DIX-NEUF JOURS'",#2-adapté,a-produire/post-J19-recap.png
☐,sam 9 mai 2026,18:00,📸 Post feed,Image 1:1,post-J19-concours-launch,a-publier-manuel-collab,v0 · Association pour le gala de l'EFREI,"Story teaser J-19 · annonce concours mercredi 13 mai 21h, Barney dance, fond péniche","Story teaser J-19 · annonce concours mercredi 13 mai 21h, Barney dance, fond péniche",concours#1,a-produire/post-J19-concours-launch.png
☐,sam 9 mai 2026,19:00,📱 Story,Story,story-J19-vestiaire,planifiable-Meta-BS,v0 · Association pour le gala de l'EFREI,"Story J-19 countdown vestiaire · 'Pas la peine de venir léger, le vestiaire gère'","Story J-19 countdown vestiaire · 'Pas la peine de venir léger, le vestiaire gère'",#3,10_Exports_Visuels/countdown-stories/story-J-19.png
☐,sam 9 mai 2026,19:30,📱 Story,Story,story-J19-concours-push,manuel,v0 · Association pour le gala de l'EFREI,Story J-19 push concours · teaser mercredi 13 mai 21h,Story J-19 push concours · teaser mercredi 13 mai 21h,concours#1-push,repost-J19-concours
☐,dim 10 mai 2026,12:30,📸 Post feed,Carrousel 8,post-J18-inclusion,planifiable-Meta-BS,v0 · Association pour le gala de l'EFREI,"Carrousel 8 slides J-18 · 'Qui peut venir ?' · tarifs diplômés 14€, étudiants/alumni 18€, écoles partenaires 18€, externes 22€","Carrousel 8 slides J-18 · 'Qui peut venir ?' · tarifs diplômés 14€, étudiants/alumni 18€, écoles partenaires 18€, externes 22€",#4bis,visuels-generes/post-J18-inclusion/
☐,dim 10 mai 2026,19:00,📱 Story,Story,story-J18-pont,planifiable-Meta-BS,v0 · Association pour le gala de l'EFREI,"Story J-18 countdown pont supérieur · 'Le pont, c'est là que les souvenirs se prennent'","Story J-18 countdown pont supérieur · 'Le pont, c'est là que les souvenirs se prennent'",#4,10_Exports_Visuels/countdown-stories/story-J-18.png
☐,dim 10 mai 2026,19:30,📱 Story,Story compagnon,story-J18-inclusion,planifiable-Meta-BS,v0 · Association pour le gala de l'EFREI,Story compagnon du post inclusion J-18 · question 'Qui peut venir ?' + swipe up vers le post,Story compagnon du post inclusion J-18 · question 'Qui peut venir ?' + swipe up vers le post,#4ter,visuels-generes/story-J18-inclusion/story.png
☐,dim 10 mai 2026,20:00,🎬 Reel,Reel,reel-J18-inclusion,planifiable-Meta-BS,v0 · Association pour le gala de l'EFREI,Reel 9:16 7s · enchaînement xfade des 8 slides du post inclusion 'Qui peut venir ?',Reel 9:16 7s · enchaînement xfade des 8 slides du post inclusion 'Qui peut venir ?',#4ter,visuels-generes/reel-J18-inclusion/reel.mp4
☐,lun 11 mai 2026,09:00,📝 Bio,BIO v1,bascule-bio-v1,manuel-mobile,v1 · concours video · 2 places offertes,"Bascule bio Insta v1 · annonce concours vidéo, 2 places offertes","Bascule bio Insta v1 · annonce concours vidéo, 2 places offertes",bio-concours,
☐,lun 11 mai 2026,18:30,📱 Story,Story,story-gagnants-concours-pod,planifiable-Meta-BS,v1 · concours video · 2 places offertes,"Story J-17 annonce gagnants concours · Melissa PHILIPPE, Nabil BENOUALI, Enora IRITZ","Story J-17 annonce gagnants concours · Melissa PHILIPPE, Nabil BENOUALI, Enora IRITZ",#concours-gagnants,visuels-generes/story-gagnants-concours-pod/story.png
☐,lun 11 mai 2026,19:00,📱 Story,Story,story-J17-sondage,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Story J-17 countdown sondage · poll 'tu es chaud / très chaud',Story J-17 countdown sondage · poll 'tu es chaud / très chaud',#5,10_Exports_Visuels/countdown-stories/story-J-17.png
