date,heure,plateforme,type,id,statut,fiche_ref,visuel_path
2026-05-09,12:00,IG promefrei,Carrousel 5,post-J19-recap,a-publier-manuel,#2-adapté,par-date-finale/2026-05-09_J-19/post-J19-recap/
2026-05-09,18:00,IG promefrei,Image 1:1,post-J19-concours-launch,a-publier-manuel-collab,concours#1,par-date-finale/2026-05-09_J-19/post-J19-concours-launch/slide-1.png
2026-05-09,19:00,IG promefrei,Story,story-J19-vestiaire,planifiable-Meta-BS,#3,par-date-finale/2026-05-09_J-19/story-J19-vestiaire/story.png
2026-05-09,19:30,IG promefrei,Story,story-J19-concours-push,manuel,concours#1-push,par-date-finale/2026-05-09_J-19/story-J19-concours-push/story.png
2026-05-10,12:30,IG promefrei,Carrousel 8,post-J18-inclusion,planifiable-Meta-BS,#4bis,par-date-finale/2026-05-10_J-18/post-J18-inclusion/
2026-05-10,19:00,IG promefrei,Story,story-J18-pont,planifiable-Meta-BS,#4,par-date-finale/2026-05-10_J-18/story-J18-pont/story.png
2026-05-10,19:30,IG promefrei,Story compagnon,story-J18-inclusion,planifiable-Meta-BS,#4ter,par-date-finale/2026-05-10_J-18/story-J18-inclusion/story.png
2026-05-10,20:00,IG promefrei,Reel,reel-J18-inclusion,planifiable-Meta-BS,#4ter,par-date-finale/2026-05-10_J-18/reel-J18-inclusion/cover.png
2026-05-11,09:00,IG promefrei,BIO v1,bascule-bio-v1,manuel-mobile,bio-concours,
2026-05-11,13:00,IG promefrei,Image 4:5,post-J17-promposition,planifiable-Meta-BS,#5bis,par-date-finale/2026-05-11_J-17/post-J17-promposition/slide-1.png
2026-05-11,18:30,IG promefrei,Story,story-gagnants-concours-pod,planifiable-Meta-BS,#concours-gagnants,par-date-finale/2026-05-11_J-17/story-gagnants-concours-pod/story.png
2026-05-11,19:00,IG promefrei,Story,story-J17-sondage,planifiable-Meta-BS,#5,par-date-finale/2026-05-11_J-17/story-J17-sondage/story.png
2026-05-11,19:30,IG promefrei,Story,story-J17-concours-reminder1,planifiable-Meta-BS,concours#2,par-date-finale/2026-05-11_J-17/story-J17-concours-reminder1/story.png
2026-05-12,12:30,IG promefrei,Carrousel 4,post-J16-billetterie,planifiable-Meta-BS,#7,par-date-finale/2026-05-12_J-16/post-J16-billetterie/
2026-05-12,13:00,IG promefrei,Carrousel 5,post-J16-dresscode,planifiable-Meta-BS,#12bis,par-date-finale/2026-05-12_J-16/post-J16-dresscode/
2026-05-12,18:30,IG promefrei,Carrousel 5,post-J15-promposition,planifiable-Meta-BS,concours-officiel,par-date-finale/2026-05-12_J-16/post-J15-promposition/
2026-05-12,19:00,IG promefrei,Story,story-J16-50pct,planifiable-Meta-BS,#6,par-date-finale/2026-05-12_J-16/story-J16-50pct/story.png
2026-05-12,19:00,IG promefrei,Story compagnon,story-J16-dresscode-compagnon,planifiable-Meta-BS,#12bis-compagnon,par-date-finale/2026-05-12_J-16/story-J16-dresscode-compagnon/story.png
2026-05-13,13:00,IG promefrei,Carrousel 5,post-J15-pourquoi,planifiable-Meta-BS,#9bis,par-date-finale/2026-05-13_J-15/post-J15-pourquoi/
2026-05-13,13:30,IG promefrei,Story compagnon,story-J15-pourquoi-compagnon,planifiable-Meta-BS,#9bis-compagnon,par-date-finale/2026-05-13_J-15/story-J15-pourquoi-compagnon/story.png
2026-05-13,19:00,IG promefrei,BIO v2,bascule-bio-v2,manuel-mobile,bio-concours,
2026-05-13,19:00,IG promefrei,Story,story-J15-2sem,planifiable-Meta-BS,#8,par-date-finale/2026-05-13_J-15/story-J15-2sem/story.png
2026-05-13,20:30,IG promefrei,Story,story-J15-nouveau-concours,planifiable-Meta-BS,#concours-2-teaser,par-date-finale/2026-05-13_J-15/story-J15-nouveau-concours/story.png
2026-05-13,21:00,IG promefrei,Reel,reel-J15-promposal,planifiable-Meta-BS,calendrier-J-15,tiktok-promposal/reel-J15-promposal-FINAL.mp4
2026-05-13,21:30,IG promefrei,Story 3 slides,story-J15-boost,manuel-stickers,#9,par-date-finale/2026-05-13_J-15/story-J15-boost/story.png
2026-05-14,13:00,IG promefrei,Image 4:5,post-J14-dj-mystere,planifiable-Meta-BS,#10bis,par-date-finale/2026-05-14_J-14/post-J14-dj-mystere/slide-1.png
2026-05-14,19:00,IG promefrei,Story,story-J14-concours-inspi,planifiable-Meta-BS,concours#3,par-date-finale/2026-05-14_J-14/story-J14-concours-inspi/story.png
2026-05-14,20:00,IG promefrei,Story,story-J14-dj-indice,manuel,#10,par-date-finale/2026-05-14_J-14/story-J14-dj-indice/story.png
2026-05-15,13:00,IG promefrei,Image 4:5,post-J13-prep,planifiable-Meta-BS,#11bis,par-date-finale/2026-05-15_J-13/post-J13-prep/slide-1.png
2026-05-15,19:00,IG promefrei,Story,story-J13-coiffeur,planifiable-Meta-BS,#11,par-date-finale/2026-05-15_J-13/story-J13-coiffeur/story.png
2026-05-16,13:00,IG promefrei,Image 4:5,post-J12-photographe,planifiable-Meta-BS,#12ter,par-date-finale/2026-05-16_J-12/post-J12-photographe/slide-1.png
